receipt_code	drug_name
620008857	生食注シリンジ「ＳＮ」５ｍＬ
620008858	生食注シリンジ「ＳＮ」１０ｍＬ
620008859	生食注シリンジ「ＳＮ」２０ｍＬ
620009265	生食液ＮＳ　５ｍＬ
620009562	生食注シリンジ「ＮＰ」　５ｍＬ
620765806	塩化ナトリウム注１０％「ＨＫ」　２０ｍＬ
620765904	生理食塩液「ＮＰ」　５ｍＬ
620766006	生理食塩液「ＮＰ」　２０ｍＬ
620766024	生理食塩液「ヒカリ」　２０ｍＬ
620766032	生理食塩液「マイラン」　２０ｍＬ
620766034	生食注２０ｍＬ「Ｈｐ」
620766727	生理食塩液「マイラン」　１００ｍＬ
620766904	生理食塩液「マイラン」　２５０ｍＬ
620767118	生理食塩液「マイラン」　５００ｍＬ
620767302	生理食塩液「ＮＰ」　５００ｍＬ
620767310	生理食塩液「ＡＹ」　５００ｍＬ
620767507	エポプロステノール静注ヤンセン専用溶解液（生理食塩液）　５０ｍＬ
620767704	生食液バッグ１００ｍＬ「ＣＭＸ」
620767902	生理食塩液「ＮＰ」　２５０ｍＬ
620768401	生食注キット「フソー」　１００ｍＬ
620769401	サリンヘス輸液６％　５００ｍＬ
620791601	ヘスパンダー輸液　５００ｍＬ
620793801	アクメインＤ輸液　５００ｍＬ
620794204	リナセートＤ輸液　５００ｍＬ
620795601	サヴィオゾール輸液　５００ｍＬ
620797301	フィジオ７０輸液　５００ｍＬ
620797401	フィジオ３５輸液　２５０ｍＬ
620797501	フィジオ３５輸液　５００ｍＬ
621311001	フィジオ１４０輸液　２５０ｍＬ
621311101	フィジオ１４０輸液　５００ｍＬ
621514701	ハルトマン輸液「ＮＰ」　５００ｍＬ
621514801	ハルトマン輸液ｐＨ８「ＮＰ」　５００ｍＬ
621514901	ハルトマン輸液ｐＨ８「ＮＰ」　１Ｌ
621554802	ユエキンキープ３号輸液　２００ｍＬ
621554902	ユエキンキープ３号輸液　５００ｍＬ
621560603	テルモ生食　１．３Ｌ
621572001	ＫＣＬ補正液キット２０ｍＥｑ　０．４モル５０ｍＬ
621621301	フィジオゾール３号輸液　５００ｍＬ
621672103	生食注シリンジ「テバ」２０ｍＬ
621672202	生食注シリンジ「テバ」１０ｍＬ
621672303	生食注シリンジ「テバ」５ｍＬ
621695101	アクメインＤ輸液　５００ｍＬ
621753501	アセテート維持液３Ｇ「ＨＫ」　２００ｍＬ
621753601	アセテート維持液３Ｇ「ＨＫ」　５００ｍＬ
621956601	生食注キット「フソー」　５０ｍＬ
621969101	塩化Ｎａ補正液２．５ｍＥｑ／ｍＬ　２．５モル２０ｍＬ
621969501	塩化アンモニウム補正液５ｍＥｑ／ｍＬ　５モル２０ｍＬ
622016601	ビカネイト輸液　５００ｍＬ
622016701	ビカネイト輸液　１Ｌ
622046601	リン酸Ｎａ補正液０．５ｍｍｏｌ／ｍＬ　０．５モル２０ｍＬ
622100901	ソリューゲンＧ注　２００ｍＬ
622121101	アクマルト輸液　２００ｍＬ
622121202	アクメインＤ輸液　２００ｍＬ
622130601	生食注シリンジ「テルモ」５ｍＬ
622130701	生食注シリンジ「テルモ」１０ｍＬ
622132801	生食注シリンジ「テルモ」２０ｍＬ
622132901	ソルアセトＤ輸液　２００ｍＬ
622133001	テルモ生食ＴＫ　５０ｍＬ
622250401	ボルベン輸液６％　５００ｍＬ
622344502	リナセートＤ輸液　２００ｍＬ
622344601	ソリタックス－Ｈ輸液　５００ｍＬ
622344701	ソリタ－Ｔ１号輸液　２００ｍＬ
622344801	ソリタ－Ｔ１号輸液　５００ｍＬ
622344901	ソリタ－Ｔ２号輸液　２００ｍＬ
622345001	ソリタ－Ｔ２号輸液　５００ｍＬ
622345101	ソリタ－Ｔ３号輸液　２００ｍＬ
622345201	ソリタ－Ｔ３号輸液　５００ｍＬ
622345301	ソリタ－Ｔ３号Ｇ輸液　２００ｍＬ
622345401	ソリタ－Ｔ３号Ｇ輸液　５００ｍＬ
622345501	ソリタ－Ｔ４号輸液　２００ｍＬ
622345601	ソリタ－Ｔ４号輸液　５００ｍＬ
622445901	ＹＤソリタ－Ｔ１号輸液　２００ｍＬ
622446001	ＹＤソリタ－Ｔ１号輸液　５００ｍＬ
622446101	ＹＤソリタ－Ｔ３号輸液　２００ｍＬ
622446201	ＹＤソリタ－Ｔ３号輸液　５００ｍＬ
622446301	ＹＤソリタ－Ｔ３号Ｇ輸液　２００ｍＬ
622446401	ＹＤソリタ－Ｔ３号Ｇ輸液　５００ｍＬ
622507501	生食注シリンジ５０ｍＬ「ニプロ」
622572001	アクチット輸液　２００ｍＬ
622572101	アクチット輸液　５００ｍＬ
622572201	ヴィーンＦ輸液　５００ｍＬ
622572301	ヴィーンＤ輸液　２００ｍＬ
622572401	ヴィーンＤ輸液　５００ｍＬ
622572501	ヴィーン３Ｇ輸液　２００ｍＬ
622572601	ヴィーン３Ｇ輸液　５００ｍＬ
622574501	リナセートＦ輸液　５００ｍＬ
622702401	アルトフェッド注射液　２００ｍＬ
622702501	ラクトリンゲル液″フソー″　２００ｍＬ
622791701	ソリューゲンＦ注　５００ｍＬ
622804301	アセトキープ３Ｇ注　５００ｍＬ
622804401	エスロンＢ注　５００ｍＬ
622804601	ソリューゲンＧ注　５００ｍＬ
622829801	クリニザルツ輸液　５００ｍＬ
622829901	グルアセト３５注　５００ｍＬ
622830001	ハルトマンＤ液「小林」　５００ｍＬ
622830101	ハルトマン－Ｇ３号輸液　５００ｍＬ
622830201	ハルトマン液「コバヤシ」　５００ｍＬ
622842200	生理食塩液　２００ｍＬ
622842201	生理食塩液バッグ「フソー」　２００ｍＬ
640406034	大塚生食注ＴＮ　５０ｍＬ
640406207	ラクトリンゲルＭ注「フソー」　２００ｍＬ
640407051	生食溶解液キットＨ　５０ｍＬ
640407056	テルモ生食　２５０ｍＬ
640407166	ソリューゲンＦ注　５００ｍＬ
640412008	エスロンＢ注　２００ｍＬ
640412033	ソリューゲンＧ注　３００ｍＬ
640412045	低分子デキストランＬ注　２５０ｍＬ
640412105	生理食塩液　１００ｍＬ
640412107	生理食塩液　２５０ｍＬ
640412109	テルモ生食ＴＫ　１００ｍＬ
640421007	生食液ＮＳ　２０ｍＬ
640421008	大塚生食注　５００ｍＬ
